カテゴリ,項目,値
施設,総施設行数,10782
施設,施設名ユニーク数,9851
施設,住所あり,10772
施設,電話あり,10763
施設,公式HPあり,251
施設,診療時間あり,2118
施設,休診日あり,2006
施設,緯度経度あり,9396
施設,科目あり,1794
施設採点,施設行数,10782
施設採点,公式HP採点対象,251
施設採点,取得成功施設,243
施設採点,取得失敗施設,8
施設採点,公式HPなし,10531
URL,採点済みURL,1543
URL,医療MAP内URL,1300
URL,公式HP等URL,243
URL,取得成功URL,1102
対応,救急対応あり,40
対応,夜間対応あり,73
対応,休日対応あり,6
施設評価,D,5
施設評価,A,131
施設評価,C,53
施設評価,B,53
施設評価,E,9
HP平均点,design,34
HP平均点,clarity,42
HP平均点,content,32
HP平均点,cleanliness,55
HP平均点,speed,66
HP平均点,seo,34
HP平均点,mobile,27
HP平均点,sns,8
HP平均点,total,41
品質,高,10763
品質,中,9
品質,低,10
状態,診療時間あり,2083
状態,要確認,8659
状態,救急情報あり,40
ページ種別,検索結果,10497
ページ種別,施設詳細,253
ページ種別,静的HP,32
科目上位,内科,737
科目上位,小児科,403
科目上位,小児歯科,322
科目上位,歯科,268
科目上位,外科,195
科目上位,リハビリテーション科,184
科目上位,整形外科,169
科目上位,消化器内科,158
科目上位,矯正歯科,154
科目上位,循環器内科,152
科目上位,アレルギー科,148
科目上位,一般歯科,145
科目上位,皮膚科,133
科目上位,歯科口腔外科,106
科目上位,眼科,95
科目上位,呼吸器内科,88
科目上位,耳鼻咽喉科,78
科目上位,循環器科,57
科目上位,リウマチ科,56
科目上位,糖尿病内科,53
